name,url,salary,id
Python Developer,https://hh.ru/vacancy/78399963,,78399963
Python (middle) Specialist,https://hh.ru/vacancy/78034655,,78034655
Team Lead Python,https://hh.ru/vacancy/78293917,,78293917
Fullstack Python/JavaScript (Ревьюер),https://hh.ru/vacancy/78351895,,78351895
Junior + Data Engineer в СберМаркет,https://hh.ru/vacancy/77122368,,77122368
Ведущий Python-разработчик,https://hh.ru/vacancy/78295186,,78295186
Python разработчик (проект Лаборатория измерительных систем),https://hh.ru/vacancy/78385236,,78385236
Senior Python Developer (Integration`s team),https://hh.ru/vacancy/78362921,270000,78362921
Python разработчик (Middle),https://hh.ru/vacancy/78416357,,78416357
Python-разработчик middle+/senior,https://hh.ru/vacancy/77850773,200000,77850773
Python Developer (Django),https://hh.ru/vacancy/78300071,,78300071
Python разработчик,https://hh.ru/vacancy/78295275,,78295275
Стажер PlanFormer,https://hh.ru/vacancy/78034633,57700,78034633
Тим/Тех лид Python,https://hh.ru/vacancy/78075944,,78075944
Ведущий разработчик Python,https://hh.ru/vacancy/76963001,,76963001
Techlead / Ведущий разработчик (Python),https://hh.ru/vacancy/78020898,,78020898
Python Data Engineer,https://hh.ru/vacancy/78103657,,78103657
QA Automation engineer (Python),https://hh.ru/vacancy/78294530,,78294530
Наставник курсов по Python разработке,https://hh.ru/vacancy/77332277,60000,77332277
Старший разработчик Python,https://hh.ru/vacancy/78445352,,78445352
Python-разработчик (VK People Hub),https://hh.ru/vacancy/76855063,,76855063
Senior Python разработчик,https://hh.ru/vacancy/78147553,,78147553
Python разработчик (Проект Персональные данные),https://hh.ru/vacancy/54261880,,54261880
Python developer,https://hh.ru/vacancy/76280390,,76280390
Главный Python разработчик,https://hh.ru/vacancy/78152661,,78152661
Инженер-программист,https://hh.ru/vacancy/78363026,,78363026
Ментор по Python (middle+/senior),https://hh.ru/vacancy/78056722,25000,78056722
Программист Linux С/Python,https://hh.ru/vacancy/78179173,,78179173
Инженер-программист,https://hh.ru/vacancy/78058032,170000,78058032
"Преподаватель - ""Аналитик данных""",https://hh.ru/vacancy/78182218,66000,78182218
"Преподаватель детского курса ""Углублённый курс по Python""",https://hh.ru/vacancy/78526003,,78526003
Python Developer,https://hh.ru/vacancy/78085556,,78085556
Спикер на курс «Автотесты на Python. Продвинутая часть»,https://hh.ru/vacancy/77235046,,77235046
Код-ревьюер на курс “Асинхронное программирование на Python”,https://hh.ru/vacancy/78153426,,78153426
Наставник на курс “Асинхронное программирование на Python”,https://hh.ru/vacancy/78153449,,78153449
Преподаватель курсов «Программирование на языке Python»,https://hh.ru/vacancy/78172813,,78172813
Преподаватель по Python в Центр непрерывного образования ФКН,https://hh.ru/vacancy/78037846,,78037846
Специалист / Преподаватель для детей Алгоритмика / Pyhon / Программирование для детей 10-16 лет,https://hh.ru/vacancy/78149540,50000,78149540
Ведущий риск - аналитик (data science/machine learning),https://hh.ru/vacancy/78086889,,78086889
Python-разработчик,https://hh.ru/vacancy/77032460,,77032460
Senior Backend Developer (Python),https://hh.ru/vacancy/78742621,,78742621
Data Engineer (Backend),https://hh.ru/vacancy/78267157,,78267157
DevOps engineer,https://hh.ru/vacancy/78967806,,78967806
Python developer (проекты),https://hh.ru/vacancy/69533479,,69533479
Дата аналитик,https://hh.ru/vacancy/78626779,,78626779
Аналитик данных / Data Analyst / BI-аналитик,https://hh.ru/vacancy/78694897,160000,78694897
Data analyst / Аналитик данных,https://hh.ru/vacancy/73591237,,73591237
Инженер по автоматизации / DevOps инженер,https://hh.ru/vacancy/77087257,80000,77087257
Data Scientist (LTV),https://hh.ru/vacancy/76536709,,76536709
Разработчик баз данных (PostgreSQL),https://hh.ru/vacancy/77228239,,77228239
"Data scientist (junior/middle), команда разработки портфельных моделей",https://hh.ru/vacancy/79093240,,79093240
DevOps Engineer,https://hh.ru/vacancy/78906873,200000,78906873
Аналитик данных,https://hh.ru/vacancy/78691511,150000,78691511
Backend разработчик (Python/Go),https://hh.ru/vacancy/71136278,150000,71136278
Automation QA Python,https://hh.ru/vacancy/75573483,,75573483
DevOps Engineer,https://hh.ru/vacancy/77959661,300000,77959661
Data Engineer,https://hh.ru/vacancy/78687348,,78687348
"Разработчик Python Developer Middle, Middle+ (робототехника)",https://hh.ru/vacancy/78304420,,78304420
SRE / DevOps engineer (Офис Москва или удалённо в РФ),https://hh.ru/vacancy/76555886,200000,76555886
Data engineer,https://hh.ru/vacancy/78672698,,78672698
Data Scientist (middle),https://hh.ru/vacancy/78331454,,78331454
DevOps Engineer / Системный администратор,https://hh.ru/vacancy/78614146,230000,78614146
QA Lead (Selenium + Python),https://hh.ru/vacancy/79014032,,79014032
Data Analyst,https://hh.ru/vacancy/78845017,,78845017
VOIP разработчик,https://hh.ru/vacancy/78761143,150000,78761143
Game Analyst (игровой аналитик),https://hh.ru/vacancy/76254367,,76254367
Data miner,https://hh.ru/vacancy/79013317,,79013317
FullStack разработчик (Backend Python + Frontend React),https://hh.ru/vacancy/78786267,200000,78786267
Data scientist Middle,https://hh.ru/vacancy/78596130,,78596130
Программист-разработчик компьютерного зрения (python),https://hh.ru/vacancy/78921225,,78921225
Product Analyst,https://hh.ru/vacancy/78564181,,78564181
Data Engineer,https://hh.ru/vacancy/78632954,,78632954
Ведущий разработчик Computer vision (Python),https://hh.ru/vacancy/77813472,,77813472
DevOps инженер,https://hh.ru/vacancy/78350291,150000,78350291
Аналитик данных,https://hh.ru/vacancy/78309106,,78309106
Аналитик данных,https://hh.ru/vacancy/78426024,,78426024
Data Engineer (senior),https://hh.ru/vacancy/78552507,,78552507
Tech Lead Python разработки,https://hh.ru/vacancy/79000015,,79000015
Python Backend - developer,https://hh.ru/vacancy/79041274,,79041274
Senior Data scientist,https://hh.ru/vacancy/78778781,4000,78778781
Data-аналитик,https://hh.ru/vacancy/78860693,,78860693
QA automation engineer (Python),https://hh.ru/vacancy/78955982,,78955982
Специалист сопровождения бизнес приложений / IT Engineer / IT Front Office Support Sp / DevOps,https://hh.ru/vacancy/78825856,,78825856
Ведущий специалист отдела математического моделирования / Data Scientist,https://hh.ru/vacancy/78769816,,78769816
DEVOPS Engineer,https://hh.ru/vacancy/78496166,150000,78496166
Инженер баз данных (Low-code) /Database Engineer (Low-code),https://hh.ru/vacancy/78641539,,78641539
DevOps-инженер,https://hh.ru/vacancy/77014718,160000,77014718
DevOps engineer (удаленно),https://hh.ru/vacancy/78137317,,78137317
Data engineer,https://hh.ru/vacancy/78124365,,78124365
Data engineer (middle+),https://hh.ru/vacancy/78056691,,78056691
Портфельный аналитик / Portfolio manager (middle/senior),https://hh.ru/vacancy/72928034,,72928034
Аналитик данных/Data Analyst,https://hh.ru/vacancy/78711842,,78711842
"Team lead Python developer, удаленно",https://hh.ru/vacancy/77321451,,77321451
Backend developer Python (middle/senior),https://hh.ru/vacancy/71862882,,71862882
Системный инженер/DevOps (Linux),https://hh.ru/vacancy/77911825,170000,77911825
Руководитель отдела разработки (backend/python),https://hh.ru/vacancy/77237581,,77237581
Инженер по автоматизированному тестированию/QA Automation Engineer (Python),https://hh.ru/vacancy/78727424,,78727424
Программист прикладного ПО,https://hh.ru/vacancy/78519224,,78519224
Senior / Middle+ QA Automation Backend (python),https://hh.ru/vacancy/75549676,,75549676
Программирующий математик (численное моделирование),https://hh.ru/vacancy/78198436,,78198436
Инженер по автоматизированному тестированию/QA Automation Engineer (Python),https://hh.ru/vacancy/77973026,,77973026
Data Analyst,https://hh.ru/vacancy/78656467,,78656467
Product Analyst,https://hh.ru/vacancy/78836767,,78836767
Python-разработчик — Группа технологий в области финансовых расследований,https://hh.ru/vacancy/79084103,,79084103
Senior ML\Python Developer,https://hh.ru/vacancy/78989461,,78989461
Data Analyst (mobile games),https://hh.ru/vacancy/79057856,,79057856
"Middle Django разработчик (удалённо, по ИТ-разработке и консалтингу для крупного бизнеса)",https://hh.ru/vacancy/78278091,,78278091
C++ разработчик (Senior / Middle),https://hh.ru/vacancy/78272043,4000,78272043
QA Automation engineer (Python),https://hh.ru/vacancy/71912517,,71912517
"Senior backend developer (Python), remote",https://hh.ru/vacancy/78376274,,78376274
Риск-аналитик (SQL),https://hh.ru/vacancy/77415912,,77415912
Data Engineer (DWH),https://hh.ru/vacancy/78994542,200000,78994542
Data engineer,https://hh.ru/vacancy/76109157,,76109157
DevOps инженер (Системный администратор Linux / Kubernetes),https://hh.ru/vacancy/78684825,180000,78684825
